a/az,the,Az öreg bányában bújtunk el.,We hid in the old mine.
lenni; van,be,"Úgy van, ahogy lennie kell.",This is as it should be.
és,and,Kék és arany színű a zászlójuk.,Their flag is blue and gold.
-nak/-nek; valaminek a…,of,Nem vagyok valami nagy szakács.,I'm not much of a cook.
-hoz/-hez/-höz; -ni,to,Nincs hova mennem.,I have no place to go.
egy; egy bizonyos,a,Várnál egy pillanatot?,Can you wait up a sec?
-ban/-ben; bent,in,Mit látsz benne?,What do you see in him?
van neki; birtokol,have,Sok vizünk van.,We have a lot of water.
ez/az; ő,it,Ez hosszú idő is lehet.,It may be a long time.
te; ön; ti,you,Önök vettek új autót?,Did you buy a new car?
ő (férfi),he,Ő a fiútestvérem.,He is my brother.
-ért; számára,for,Itt van egy levél az ön számára.,Here is a letter for you.
ők,they,Talán ők nem is tudnak róla.,They may not know about it.
nem,not,Nem vagyok egy korán kelő.,I am not a morning person.
az; hogy,that,Kölcsön tudom adni neked azt a könyvet.,I can lend you that book.
mi,we,Mi mind szeretnénk ha szeretnének.,We all want to be liked.
-on/-en/-ön; rajta,on,Hol vagyok én ezen a térképen?,Where am I on this map?
-val/-vel; vele,with,Nem jövök vele ki jól.,I can't get along with him.
ez,this,Találtam ezt a parkban.,I found this in the park.
én,I,Nem volt időm enni.,I had no time to eat.
csinál; tesz,do,"Taníts meg, hogyan kell csinálni!",Teach me how to do it.
mint; ahogy,as,Mint barátot kérdezlek.,I'm asking you as a friend.
-nál/-nél; -kor,at,A bolt reggel 9-kor nyit.,The store opens at 9 a.m.
ő (nő),she,Ő a lánytestvérem.,She is my sister.
de; azonban,but,"Mindenhol kutattunk, de nem találtunk semmit.",We searched everywhere but found nothing.
-ból/-ből; -tól/-től,from,Olyan sokat tanulok tőled.,I'm learning so much from you.
által; mellett,by,Ülj le az apád mellé.,Go and sit by your father.
fog (jövő idő),will,Meg fogja nyerni az első díjat.,He will win the first prize.
vagy,or,Együtt vagy külön fizettek?,Are you paying together or separately?
mond,say,"Félre ne értsd, amit mondok!",Do not misconstrue what I say.
megy,go,Megyek dolgozni.,I'm going to go to work.
így; annyira,so,Az orvos talán így mondta.,The doctor may have said so.
minden; összes,all,Mindenféle zenét szeretek.,I like all kinds of music.
ha,if,"Ha elmész, megölöm magam!","If you leave, I'll kill myself."
egy,one,Ki fogok választani egyet közülük.,I will choose one of them.
-na/-ne; volna,would,Mit csinálnánk nélküled?,What would we do without you?
-ról/-ről; körülbelül,about,Mit tudsz róluk?,What do you know about them?
tud; -hat/-het,can,"Azt hiszem, be tudom bizonyítani.",I think I can prove it.
melyik; amelyik,which,Mely fémek vezetik legjobban az áramot?,Which metals conduct electricity the best?
ott; van,there,Nem voltam ott akkor.,I wasn't there at that time.
tud; ismer,know,"Tudni akarom, ki vesztett.",I want to know who lost.
