tud/képes | te; ön | húzni; leszedni | félre,can | you | pull | over,Félre tudnál állni?,Can you pull over?
kedves | Scotty | annyira; így | én vagyok | ki; végig | korán; korai | neki; számára | jó; jól | viselkedés | és | itt; tessék | én | lenni | ellopni | ez,dear | scotty | so | i'm | out | early | for | good | behavior | and | here | i | be | steal | this,"Kedves Scotty! Jó magaviseletért hamarabb szabadultam, és most itt vagyok, épp ezt lopom el.","Dear Scotty: So, I'm out early for good behavior, and here I am, stealing this."
te; ön | mindig | gyűlölni | emlékhely; emlékmű | és | most | én | gyűlölni | őket; nekik | is; túl,you | always | hate | memorial | and | now | i | hate | them | too,"Mindig is gyűlölted a megemlékezéseket, és most már én is gyűlölöm őket.","You always hated memorials, and now I hate them, too."
én | remélni; remény | ez van; ez az | nem | rossz | karma | mert | én vagyok | elindulni; tartani valahová | vissza | -hoz; -hez; felé | a; az | hely | ez; az | minden | menni | téves; rossz,i | hope | it's | not | bad | karma | because | i'm | head | back | to | the | place | it | all | go | wrong,"Remélem, ez nem hoz rám balszerencsét, mert visszatérek oda, ahol minden félresiklott.","I hope it's not bad karma, because I'm headed back to the place it all went wrong."
látni | ha | én | tud/képes | megkapni; megérteni | valami | rendben; helyes,see | if | i | can | get | something | right,"Lássuk, sikerül-e végre valamit jól csinálnom.",See if I can get something right.
egy | hónap,a | month,Havi 550 dollár.,550 a month.
első | és | utolsó | ma,first | and | last | today,Ma kell az első és az utolsó havi lakbér.,First and last today.
nem | bérleti szerződés,no | lease,Nincs bérleti szerződés.,No lease.
mi van; mi a | a te; az ön | név,what's | your | name,Hogy hívnak?,What's your name?
Kenna | Rowan,kenna | rowan,Kenna Rowan.,Kenna Rowan.
becsukni; befogni | ez; az | Doug,shut | it | doug,"Fogd be, Doug!","Shut it, Doug!"
ribanc,bitch,Ribanc!,Bitch!
víz | és | csatorna; csatornadíj | lenni | fedezni; tartalmazni,water | and | sewer | be | cover,A víz- és csatornadíj benne van.,Water and sewer are covered.
van | egy | kaució; letét | neki; számára | villany; elektromos,there's | a | deposit | for | electric,Az áramhoz 250 dollár kaució kell.,There's a $250 deposit for electric.
kettő | száz | és | ötven | rajta; -on; -en; -ön | teteje; ezen felül | -nak; -nek; valaminek a | kettő | hónap | bérelni; bérleti díj,two | hundred | and | fifty | on | top | of | two | month | rent,K-kétszázötven a kéthavi lakbéren felül?,T-Two hundred and fifty on top of two months' rent?
és | vinni; elvenni | egy | kiscica,and | take | a | kitten,És vigyél el egy kiscicát.,And take a kitten.
egy | kiscica,a | kitten,Egy kiscica?,A kitten?
igen | egy | kiscica,yeah | a | kitten,"Igen, egy kiscicát.","Yeah, a kitten."
ez van; ez az | mint; kedvelni | egy | macska | de | kicsi,it's | like | a | cat | but | small,"Olyan, mint egy macska, csak kisebb.",It's like a cat but smaller.
nos; jól | én | ne; nem | akarni | egy | kiscica,well | i | don't | want | a | kitten,"Hát, én nem akarok kiscicát.","Well, I don't want a kitten."
ki | nem tenne; nem volna | akarni | egy | kiscica,who | wouldn't | want | a | kitten,Ki ne akarna egy kiscicát?,Who wouldn't want a kitten?
engem; nekem,me,Én.,Me.
fogok | csinálni; készíteni; elkövetni | te; ön | egy | elintézni; foglalkozni vele,i'll | make | you | a | deal,Alkut ajánlok.,I'll make you a deal.
te; ön | vinni; elvenni | egy | kiscica | és | fogok | elhagyni; békén hagyni | a; az | villany; elektromos | rajta; -on; -en; -ön | neki; számára | három | hét,you | take | a | kitten | and | i'll | leave | the | electric | on | for | three | week,"Elviszel egy kiscicát, én pedig még három hétig nem kapcsolom ki az áramot.","You take a kitten, and I'll leave the electric on for three weeks."
adni | te; ön | egy | esély | -hoz; -hez; felé | megkapni; megérteni | a te; az ön | szar | együtt; össze,give | you | a | chance | to | get | your | shit | together,Hogy legyen időd összeszedni magad.,Give you a chance to get your shit together.
